genre_ID,average tempo, average duration,average danceability
316,90.79,399065.3333,0.32
317,95.16,226600,0.33
318,139.91,282561.8519,0.5
319,128.57,213218.5282,0.54
320,119.93,223893.22,0.44
321,130.44,190672.09,0.58
322,117.47,228013.3333,0.59
323,113.09,231642.6667,0.46
324,187.52,298966.5,0.35
325,123.41,269215.5604,0.52
326,136.99,241263.8095,0.67
327,125.73,385253,0.81
328,112.85,190220.0011,0.56
329,114.77,182929.0373,0.59
330,103.16,194220.5396,0.55
331,108.17,194906.0187,0.67
332,121.18,275603.4615,0.61
333,118.54,344958.2333,0.68
334,122.52,209756.7671,0.62
335,117.96,232984.5529,0.67
336,124.66,403569.8333,0.86
337,114.65,206205.387,0.56
338,105.77,392482.6,0.61
339,127.55,244586.6667,0.59
340,104.79,161715.8333,0.56
341,117.42,190002.2333,0.69
342,83.5,238066,0.46
343,134.62,267449.3654,0.42
344,107.61,159361.7947,0.47
345,128.55,201587.4134,0.49
346,126.28,251329.2768,0.8
347,151.44,299786.6667,0.59
348,120.71,209463.7046,0.55
349,119.89,243405.5976,0.43
350,116.76,246761.9211,0.63
351,121.02,203320,0.7
352,85.33,289886.5,0.17
353,121.42,163618.6667,0.52
354,126.1,351012.1719,0.38
355,111.55,221135.9936,0.54
356,101.07,154821.5476,0.43
357,117.24,126943.75,0.48
358,124.01,504194,0.87
359,102.58,218954.8,0.14
360,111.46,213574.664,0.63
361,120.34,238917.5039,0.43
362,92.75,245996.6308,0.25
363,172.89,353800,0.22
364,125.91,285757.0667,0.2
365,129.11,341543.2857,0.73
366,117.01,502291,0.65
367,125.96,73621.94118,0.22
368,121.09,260052.1364,0.39
369,94.83,232800,0.69
370,114.4,184345.8347,0.64
371,113.21,239048.9266,0.5
372,126.82,168117.9343,0.48
373,91.52,161904.6,0.67
374,102.19,244733,0.67
375,115.79,226841.2083,0.77
376,120.21,239156.5718,0.53
377,167.53,172176,0.32
378,105.6,200606.6198,0.67
379,123.0,346000,0.81
380,121.99,257705,0.89
381,121.09,260052.1364,0.39
382,132.95,305599.558,0.62
383,131.14,254393.5,0.54
384,107.59,413989,0.41
385,130.43,193525.75,0.57
386,118.56,172217.8838,0.53
387,104.08,389950.7778,0.69
388,155.68,224133,0.43
389,114.39,330201.1757,0.7
390,117.08,237002.85,0.65
391,126.09,294710.5,0.3
392,121.09,255963.3314,0.5
393,116.83,563729.8333,0.28
394,98.98,30946,0.91
395,98.81,254545.5538,0.26
396,94.16,297746.0949,0.3
397,118.26,191475.7143,0.69
398,95.34,251766.2903,0.22
399,113.0,203736.8472,0.49
400,112.31,256328.5,0.24
401,129.46,230907.3653,0.48
402,117.41,224934.2831,0.51
403,114.02,243087.75,0.26
404,110.24,201989.1508,0.56
405,115.77,245825.0458,0.53
406,123.04,183434.8389,0.53
407,112.05,295504.9667,0.37
408,104.42,248479.1901,0.28
409,99.71,371054.9714,0.25
410,125.13,253551.8889,0.5
411,155.0,323223.25,0.32
412,120.89,235372.5556,0.48
413,115.95,249620.6416,0.59
414,100.51,215830.1404,0.26
415,122.08,247675.3846,0.48
416,116.61,237297.1594,0.49
417,115.48,385605.947,0.71
418,109.73,272334.8918,0.75
419,119.13,188488.9234,0.73
420,120.77,223945.2643,0.52
421,129.44,260667.2933,0.59
422,118.61,245238.1526,0.37
423,137.66,172587.1944,0.35
424,135.56,231584.6491,0.57
425,126.87,173939.1293,0.55
426,129.92,229187.7365,0.68
427,122.15,177022.5345,0.55
428,111.36,283824,0.5
429,138.37,207352.4444,0.3
430,124.83,380555.1667,0.74
431,75.91,1794902.5,0.12
432,104.98,258333,0.57
433,122.68,199040,0.43
434,108.71,189524.3333,0.67
435,117.28,246351.4741,0.54
436,130.53,212155.7681,0.47
437,110.98,181336.5848,0.48
438,149.97,176775.9048,0.52
439,132.05,299853,0.45
440,111.94,214968.7147,0.74
